merge_parent;merge_commit;parent1;parent2;merge_base;ref_type;ref_detail;old_path;old_start_line;new_path;new_start_line
1;11524170cbd64c40ec16cf94dd42c1988d191c93;08018ab5c1e5f9fea86b92e3b8881897f681ea39;ba325955463076987eca476309043fcdd59dad7c;b48ba8a843b29178c2b39cafd1c9a1aae518f6b0;Rename Method;Rename Method	package syncFolder() : void renamed to package syncDirectory() : void in class org.apache.cassandra.db.lifecycle.LogReplica;src/java/org/apache/cassandra/db/lifecycle/LogReplica.java;76;src/java/org/apache/cassandra/db/lifecycle/LogReplica.java;95
1;11524170cbd64c40ec16cf94dd42c1988d191c93;08018ab5c1e5f9fea86b92e3b8881897f681ea39;ba325955463076987eca476309043fcdd59dad7c;b48ba8a843b29178c2b39cafd1c9a1aae518f6b0;Rename Method;Rename Method	package syncFolder() : void renamed to package syncDirectory() : void in class org.apache.cassandra.db.lifecycle.LogReplica;src/java/org/apache/cassandra/db/lifecycle/LogReplica.java;76;src/java/org/apache/cassandra/db/lifecycle/LogReplica.java;95
1;70e6f2952fd648f45aa9075909c13e5783141318;cbf4da4397c2cec34d6a240b0e917a847c46b3d0;126853068d6cd4d1f487a32defb25c3c452a42cf;4013eacd9dd50772338c4df63d3c366000d35f82;Extract Superclass;Extract Superclass	org.apache.cassandra.repair.SyncTask from classes [org.apache.cassandra.repair.AsymmetricRemoteSyncTask, org.apache.cassandra.repair.LocalSyncTask, org.apache.cassandra.repair.SymmetricRemoteSyncTask];/dev/null;0;src/java/org/apache/cassandra/repair/SyncTask.java;37
1;70e6f2952fd648f45aa9075909c13e5783141318;cbf4da4397c2cec34d6a240b0e917a847c46b3d0;126853068d6cd4d1f487a32defb25c3c452a42cf;4013eacd9dd50772338c4df63d3c366000d35f82;Extract Superclass;Extract Superclass	org.apache.cassandra.repair.SyncTask from classes [org.apache.cassandra.repair.AsymmetricRemoteSyncTask, org.apache.cassandra.repair.LocalSyncTask, org.apache.cassandra.repair.SymmetricRemoteSyncTask];/dev/null;0;src/java/org/apache/cassandra/repair/SyncTask.java;42
1;70e6f2952fd648f45aa9075909c13e5783141318;cbf4da4397c2cec34d6a240b0e917a847c46b3d0;126853068d6cd4d1f487a32defb25c3c452a42cf;4013eacd9dd50772338c4df63d3c366000d35f82;Extract Superclass;Extract Superclass	org.apache.cassandra.repair.SyncTask from classes [org.apache.cassandra.repair.AsymmetricRemoteSyncTask, org.apache.cassandra.repair.LocalSyncTask, org.apache.cassandra.repair.SymmetricRemoteSyncTask];/dev/null;0;src/java/org/apache/cassandra/repair/SyncTask.java;49
1;70e6f2952fd648f45aa9075909c13e5783141318;cbf4da4397c2cec34d6a240b0e917a847c46b3d0;126853068d6cd4d1f487a32defb25c3c452a42cf;4013eacd9dd50772338c4df63d3c366000d35f82;Extract Superclass;Extract Superclass	org.apache.cassandra.repair.SyncTask from classes [org.apache.cassandra.repair.AsymmetricRemoteSyncTask, org.apache.cassandra.repair.LocalSyncTask, org.apache.cassandra.repair.SymmetricRemoteSyncTask];/dev/null;0;src/java/org/apache/cassandra/repair/SyncTask.java;53
1;70e6f2952fd648f45aa9075909c13e5783141318;cbf4da4397c2cec34d6a240b0e917a847c46b3d0;126853068d6cd4d1f487a32defb25c3c452a42cf;4013eacd9dd50772338c4df63d3c366000d35f82;Extract Superclass;Extract Superclass	org.apache.cassandra.repair.SyncTask from classes [org.apache.cassandra.repair.AsymmetricRemoteSyncTask, org.apache.cassandra.repair.LocalSyncTask, org.apache.cassandra.repair.SymmetricRemoteSyncTask];/dev/null;0;src/java/org/apache/cassandra/repair/SyncTask.java;71
1;70e6f2952fd648f45aa9075909c13e5783141318;cbf4da4397c2cec34d6a240b0e917a847c46b3d0;126853068d6cd4d1f487a32defb25c3c452a42cf;4013eacd9dd50772338c4df63d3c366000d35f82;Extract Superclass;Extract Superclass	org.apache.cassandra.repair.SyncTask from classes [org.apache.cassandra.repair.AsymmetricRemoteSyncTask, org.apache.cassandra.repair.LocalSyncTask, org.apache.cassandra.repair.SymmetricRemoteSyncTask];/dev/null;0;src/java/org/apache/cassandra/repair/SyncTask.java;86
1;70e6f2952fd648f45aa9075909c13e5783141318;cbf4da4397c2cec34d6a240b0e917a847c46b3d0;126853068d6cd4d1f487a32defb25c3c452a42cf;4013eacd9dd50772338c4df63d3c366000d35f82;Rename Class;Rename Class	org.apache.cassandra.repair.SymmetricLocalSyncTaskTest renamed to org.apache.cassandra.repair.LocalSyncTaskTest;/dev/null;0;test/unit/org/apache/cassandra/repair/LocalSyncTaskTest.java;99
1;70e6f2952fd648f45aa9075909c13e5783141318;cbf4da4397c2cec34d6a240b0e917a847c46b3d0;126853068d6cd4d1f487a32defb25c3c452a42cf;4013eacd9dd50772338c4df63d3c366000d35f82;Rename Class;Rename Class	org.apache.cassandra.repair.SymmetricLocalSyncTaskTest renamed to org.apache.cassandra.repair.LocalSyncTaskTest;/dev/null;0;test/unit/org/apache/cassandra/repair/LocalSyncTaskTest.java;134
