merge_parent;merge_commit;parent1;parent2;merge_base;ref_type;ref_detail;old_path;old_start_line;new_path;new_start_line
2;a039f10d36ab62d0043a07e864119efe1de11bb4;27aba1524e265d4d6928d7d9069479810974d7bc;033e67fa593ab831ee008824c03f6c2f161842b6;51e1d40dca00385d9b8946fd38c000f226a8830f;Rename Method;Rename Method	public testCountDistinctCardinalityFolder() : void renamed to public testCountAndCountDistinctFolding() : void in class org.elasticsearch.xpack.sql.planner.QueryTranslatorTests;x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/planner/QueryTranslatorTests.java;425;x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/planner/QueryTranslatorTests.java;428
2;a039f10d36ab62d0043a07e864119efe1de11bb4;27aba1524e265d4d6928d7d9069479810974d7bc;033e67fa593ab831ee008824c03f6c2f161842b6;51e1d40dca00385d9b8946fd38c000f226a8830f;Rename Method;Rename Method	public testCountDistinctCardinalityFolder() : void renamed to public testCountAndCountDistinctFolding() : void in class org.elasticsearch.xpack.sql.planner.QueryTranslatorTests;x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/planner/QueryTranslatorTests.java;425;x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/planner/QueryTranslatorTests.java;428
1;3180107e889be5330393d31e6d2ebe9e8c1551c8;fbe4d46e693e2eaa88aef25d13d678eb9a4dd198;19a7e0f4eb4e094ddc7f6e1195c685ef22537bb8;46237faa97978327be138fceeadfb66329c799ff;Extract Method;Extract Method	private createExceptionMessage(input String, e DateTimeParseException) : String extracted from public parse(input String) : TemporalAccessor in class org.elasticsearch.common.time.JavaDateFormatter;server/src/main/java/org/elasticsearch/common/time/JavaDateFormatter.java;76;server/src/main/java/org/elasticsearch/common/time/JavaDateFormatter.java;76
1;3180107e889be5330393d31e6d2ebe9e8c1551c8;fbe4d46e693e2eaa88aef25d13d678eb9a4dd198;19a7e0f4eb4e094ddc7f6e1195c685ef22537bb8;46237faa97978327be138fceeadfb66329c799ff;Extract Method;Extract Method	private createExceptionMessage(input String, e DateTimeParseException) : String extracted from public parse(input String) : TemporalAccessor in class org.elasticsearch.common.time.JavaDateFormatter;server/src/main/java/org/elasticsearch/common/time/JavaDateFormatter.java;76;server/src/main/java/org/elasticsearch/common/time/JavaDateFormatter.java;76
2;b5a92db31450621edf52ad8a6c4da367e1497db9;92732684eab07b61df52b79e706957eee3dcc636;c4f437800680a8858131b5a5e7bb370c41d109a9;2f18325384c77fc10f86847bcbaf268626839ce7;Move Class;Move Class	org.elasticsearch.common.time.DateFormatter.MergedDateFormatter moved to org.elasticsearch.common.time.DateFormatters.MergedDateFormatter;server/src/main/java/org/elasticsearch/common/time/DateFormatter.java;138;server/src/main/java/org/elasticsearch/common/time/DateFormatter.java;132
2;1f36baf169f787734817756d09760ca81f05da8c;62995e31339451e0333ea900dfc44def808d5cdd;87831051dcd9d21a79411b78628d7d1f7f96fa74;9626e700ceab6185ac7ef33934fed28cb87aaa26;Move Class;Move Class	org.elasticsearch.deps.joda.SimpleJodaTests moved to org.elasticsearch.common.joda.SimpleJodaTests;/dev/null;0;server/src/test/java/org/elasticsearch/common/joda/SimpleJodaTests.java;721
2;03c67ee915a93ea3cb2c4348ac23e7a9f6999e5e;971e5d00fc0d3b720fba0c1058d01f07ee01952f;dad6f1c9fe9b25ed3ee2d16c1112a5ef3f5f908a;c32e4fb83f78e350cc44ad1c616a0af1577de93c;Extract And Move Method;Extract And Move Method	public formatMillis(millis long) : String extracted from public dateMathString(time String, now long) : String in class org.elasticsearch.license.TestUtils & moved to class org.elasticsearch.common.joda.FormatDateTimeFormatter;x-pack/plugin/core/src/test/java/org/elasticsearch/license/TestUtils.java;57;x-pack/plugin/core/src/test/java/org/elasticsearch/license/TestUtils.java;55
2;03c67ee915a93ea3cb2c4348ac23e7a9f6999e5e;971e5d00fc0d3b720fba0c1058d01f07ee01952f;dad6f1c9fe9b25ed3ee2d16c1112a5ef3f5f908a;c32e4fb83f78e350cc44ad1c616a0af1577de93c;Extract And Move Method;Extract And Move Method	public formatMillis(millis long) : String extracted from public dateMathString(time String, now long) : String in class org.elasticsearch.license.TestUtils & moved to class org.elasticsearch.common.joda.FormatDateTimeFormatter;x-pack/plugin/core/src/test/java/org/elasticsearch/license/TestUtils.java;57;x-pack/plugin/core/src/test/java/org/elasticsearch/license/TestUtils.java;55
2;03c67ee915a93ea3cb2c4348ac23e7a9f6999e5e;971e5d00fc0d3b720fba0c1058d01f07ee01952f;dad6f1c9fe9b25ed3ee2d16c1112a5ef3f5f908a;c32e4fb83f78e350cc44ad1c616a0af1577de93c;Rename Method;Rename Method	public getZone() : ZoneId renamed to public zone() : ZoneId in class org.elasticsearch.common.time.EpochMillisDateFormatter;server/src/main/java/org/elasticsearch/common/time/EpochMillisDateFormatter.java;111;server/src/main/java/org/elasticsearch/common/time/EpochMillisDateFormatter.java;111
2;03c67ee915a93ea3cb2c4348ac23e7a9f6999e5e;971e5d00fc0d3b720fba0c1058d01f07ee01952f;dad6f1c9fe9b25ed3ee2d16c1112a5ef3f5f908a;c32e4fb83f78e350cc44ad1c616a0af1577de93c;Rename Method;Rename Method	public getZone() : ZoneId renamed to public zone() : ZoneId in class org.elasticsearch.common.time.EpochMillisDateFormatter;server/src/main/java/org/elasticsearch/common/time/EpochMillisDateFormatter.java;111;server/src/main/java/org/elasticsearch/common/time/EpochMillisDateFormatter.java;111
