merge_parent;merge_commit;parent1;parent2;merge_base;ref_type;ref_detail;old_path;old_start_line;new_path;new_start_line
1;07559b47674594fdf40f2855f83b492f67f9093c;80add4f0726d81895097e95dc0451aecd0c8c689;a5e7730c7dfe1ce5929048cff91202bfb94b0d0f;450322e7b8fddf85f22ac9dfb65666fd5f51e606;Extract Method;Extract Method	private compileFileExitCode(source File) : int extracted from public assertCompileFailsWithMessages(source File) : void in class com.google.errorprone.CompilationTestHelper;core/src/test/java/com/google/errorprone/CompilationTestHelper.java;57;core/src/test/java/com/google/errorprone/CompilationTestHelper.java;56
1;07559b47674594fdf40f2855f83b492f67f9093c;80add4f0726d81895097e95dc0451aecd0c8c689;a5e7730c7dfe1ce5929048cff91202bfb94b0d0f;450322e7b8fddf85f22ac9dfb65666fd5f51e606;Extract Method;Extract Method	private compileFileExitCode(source File) : int extracted from public assertCompileFailsWithMessages(source File) : void in class com.google.errorprone.CompilationTestHelper;core/src/test/java/com/google/errorprone/CompilationTestHelper.java;57;core/src/test/java/com/google/errorprone/CompilationTestHelper.java;56
2;0e97a336019b2590a5a486cd4d0249a60db36eb7;4147425bcae55b942e8270a5774d1b2bc61b4bb9;6642ef92e599d43a18920efa3553e77d7da9a39c;b7ad4540f69d6dd9e329b8a29963644aa5cbc93b;Extract Method;Extract Method	private registerNodeTypes(checker BugChecker) : void extracted from public ErrorProneScanner(predicate EnabledPredicate) in class com.google.errorprone.ErrorProneScanner;core/src/main/java/com/google/errorprone/ErrorProneScanner.java;108;core/src/main/java/com/google/errorprone/ErrorProneScanner.java;111
1;1a87c33bd18648f484133794840e94bd8d1d4a64;063f0e52f3e6ae46b3098b833eed9a391b1af960;b4a1570dfce58a88f5b8762502c1939337875ec6;5f38675ec51c16d54b4d36677b8f88923d59a9f0;Rename Method;Rename Method	public ownFail() : void renamed to public codeCatch_staticImportedFail() : void in class com.google.errorprone.bugpatterns.TryFailWithEmptyCatchThrowableNegativeCases;core/src/test/resources/com/google/errorprone/bugpatterns/TryFailWithEmptyCatchThrowableNegativeCases.java;76;core/src/test/resources/com/google/errorprone/bugpatterns/TryFailWithEmptyCatchThrowableNegativeCases.java;81
1;1a87c33bd18648f484133794840e94bd8d1d4a64;063f0e52f3e6ae46b3098b833eed9a391b1af960;b4a1570dfce58a88f5b8762502c1939337875ec6;5f38675ec51c16d54b4d36677b8f88923d59a9f0;Rename Method;Rename Method	public ownFail() : void renamed to public codeCatch_staticImportedFail() : void in class com.google.errorprone.bugpatterns.TryFailWithEmptyCatchThrowableNegativeCases;core/src/test/resources/com/google/errorprone/bugpatterns/TryFailWithEmptyCatchThrowableNegativeCases.java;103;core/src/test/resources/com/google/errorprone/bugpatterns/TryFailWithEmptyCatchThrowableNegativeCases.java;117
2;f10f48c87d828881dda9912f050bccf8bb36776c;391418a1dcba68d1d584264db9e375259dfb11ac;a90b6a7ce9d496a4ebc5c83e29c32c557a19a67d;855c92147b7749fef0648e68c7c04d9dea55b28a;Rename Class;Rename Class	com.google.errorprone.bugpatterns.ArrayEqualsPositiveCases renamed to com.google.errorprone.bugpatterns.ArrayToStringPositiveCases;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringPositiveCases.java;24;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringPositiveCases.java;24
2;f10f48c87d828881dda9912f050bccf8bb36776c;391418a1dcba68d1d584264db9e375259dfb11ac;a90b6a7ce9d496a4ebc5c83e29c32c557a19a67d;855c92147b7749fef0648e68c7c04d9dea55b28a;Rename Class;Rename Class	com.google.errorprone.bugpatterns.ArrayEqualsPositiveCases renamed to com.google.errorprone.bugpatterns.ArrayToStringPositiveCases;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringPositiveCases.java;24;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringPositiveCases.java;24
2;f10f48c87d828881dda9912f050bccf8bb36776c;391418a1dcba68d1d584264db9e375259dfb11ac;a90b6a7ce9d496a4ebc5c83e29c32c557a19a67d;855c92147b7749fef0648e68c7c04d9dea55b28a;Rename Class;Rename Class	com.google.errorprone.bugpatterns.ArrayEqualsNegativeCases renamed to com.google.errorprone.bugpatterns.ArrayToStringNegativeCases;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringNegativeCases.java;24;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringNegativeCases.java;24
2;f10f48c87d828881dda9912f050bccf8bb36776c;391418a1dcba68d1d584264db9e375259dfb11ac;a90b6a7ce9d496a4ebc5c83e29c32c557a19a67d;855c92147b7749fef0648e68c7c04d9dea55b28a;Rename Class;Rename Class	com.google.errorprone.bugpatterns.ArrayEqualsNegativeCases renamed to com.google.errorprone.bugpatterns.ArrayToStringNegativeCases;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringNegativeCases.java;24;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringNegativeCases.java;24
2;d51253011690def06db835d5ad605ca134c94d84;391418a1dcba68d1d584264db9e375259dfb11ac;a90b6a7ce9d496a4ebc5c83e29c32c557a19a67d;855c92147b7749fef0648e68c7c04d9dea55b28a;Rename Class;Rename Class	com.google.errorprone.bugpatterns.ArrayEqualsPositiveCases renamed to com.google.errorprone.bugpatterns.ArrayToStringPositiveCases;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringPositiveCases.java;24;core/src/test/resources/com/google/errorprone/bugpatterns/ArrayToStringPositiveCases.java;24
