merge_parent;merge_commit;parent1;parent2;merge_base;ref_type;ref_detail;old_path;old_start_line;new_path;new_start_line
1;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.stmt.ForeachStmt renamed to com.github.javaparser.ast.stmt.ForEachStmt;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/stmt/ForEachStmt.java;34
1;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleRequiresStmt renamed to com.github.javaparser.ast.modules.ModuleRequiresDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleRequiresDirective.java;20
1;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleUsesStmt renamed to com.github.javaparser.ast.modules.ModuleUsesDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleUsesDirective.java;12
1;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleExportsStmt renamed to com.github.javaparser.ast.modules.ModuleExportsDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleExportsDirective.java;18
1;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleOpensStmt renamed to com.github.javaparser.ast.modules.ModuleOpensDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleOpensDirective.java;17
1;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleProvidesStmt renamed to com.github.javaparser.ast.modules.ModuleProvidesDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleProvidesDirective.java;17
2;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.symbolsolver.javaparsermodel.declarations.Helper renamed to com.github.javaparser.symbolsolver.javaparsermodel.declarations.AstResolutionUtils;/dev/null;0;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/AstResolutionUtils.java;38
2;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Method;Rename Method	public toAST() : Optional<Node> renamed to public toAst() : Optional<Node> in class com.github.javaparser.symbolsolver.javaparsermodel.declarations.JavaParserClassDeclaration;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserClassDeclaration.java;346;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserClassDeclaration.java;346
2;7fd7c83851fb87d727c220043bac0e4e81632182;fc4af07a0809e462b759c4e361810a986333448d;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Method;Rename Method	public toAST() : Optional<Node> renamed to public toAst() : Optional<Node> in class com.github.javaparser.symbolsolver.javaparsermodel.declarations.JavaParserClassDeclaration;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserClassDeclaration.java;346;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserClassDeclaration.java;346
1;78895ffc8f79e73315512a361982458a5ad3bb41;80bda3ad1445881605ca4805927e70b4e9ef3d27;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.stmt.ForeachStmt renamed to com.github.javaparser.ast.stmt.ForEachStmt;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/stmt/ForEachStmt.java;34
1;78895ffc8f79e73315512a361982458a5ad3bb41;80bda3ad1445881605ca4805927e70b4e9ef3d27;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleRequiresStmt renamed to com.github.javaparser.ast.modules.ModuleRequiresDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleRequiresDirective.java;20
1;78895ffc8f79e73315512a361982458a5ad3bb41;80bda3ad1445881605ca4805927e70b4e9ef3d27;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleUsesStmt renamed to com.github.javaparser.ast.modules.ModuleUsesDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleUsesDirective.java;12
1;78895ffc8f79e73315512a361982458a5ad3bb41;80bda3ad1445881605ca4805927e70b4e9ef3d27;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleExportsStmt renamed to com.github.javaparser.ast.modules.ModuleExportsDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleExportsDirective.java;18
1;78895ffc8f79e73315512a361982458a5ad3bb41;80bda3ad1445881605ca4805927e70b4e9ef3d27;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleOpensStmt renamed to com.github.javaparser.ast.modules.ModuleOpensDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleOpensDirective.java;17
1;78895ffc8f79e73315512a361982458a5ad3bb41;80bda3ad1445881605ca4805927e70b4e9ef3d27;cf47b14eaf6f70ca2be0bc6b51235964eb56e41a;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleProvidesStmt renamed to com.github.javaparser.ast.modules.ModuleProvidesDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleProvidesDirective.java;17
2;fc4af07a0809e462b759c4e361810a986333448d;2d6fcd561e9e542e3ead109d886f7a7ae4c213fb;80bda3ad1445881605ca4805927e70b4e9ef3d27;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleRequiresStmt renamed to com.github.javaparser.ast.modules.ModuleRequiresDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleRequiresDirective.java;32
2;fc4af07a0809e462b759c4e361810a986333448d;2d6fcd561e9e542e3ead109d886f7a7ae4c213fb;80bda3ad1445881605ca4805927e70b4e9ef3d27;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleRequiresStmt renamed to com.github.javaparser.ast.modules.ModuleRequiresDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleRequiresDirective.java;45
2;fc4af07a0809e462b759c4e361810a986333448d;2d6fcd561e9e542e3ead109d886f7a7ae4c213fb;80bda3ad1445881605ca4805927e70b4e9ef3d27;999c27a35bb9beb477617945035d060cade7946d;Rename Class;Rename Class	com.github.javaparser.ast.modules.ModuleRequiresStmt renamed to com.github.javaparser.ast.modules.ModuleRequiresDirective;/dev/null;0;javaparser-core/src/main/java/com/github/javaparser/ast/modules/ModuleRequiresDirective.java;70
1;778a4c22e2928895fd8254e979de27aeba0cc2fe;af003ca209fa9a3e84abc2cf330893e854b70cc2;7eb6b8b6f26fcb26605a8e058179bf0ce8e02c43;b0d13eaf6cf51711755ccd819197cddadbdf64bd;Rename Method;Rename Method	package localVariablesDeclared() : List<VariableDeclarator> renamed to package parametersExposedToChild(child Node) : List<Parameter> in class com.github.javaparser.symbolsolver.core.resolution.Context;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/core/resolution/Context.java;115;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/core/resolution/Context.java;116
1;778a4c22e2928895fd8254e979de27aeba0cc2fe;af003ca209fa9a3e84abc2cf330893e854b70cc2;7eb6b8b6f26fcb26605a8e058179bf0ce8e02c43;b0d13eaf6cf51711755ccd819197cddadbdf64bd;Rename Method;Rename Method	package localVariablesDeclared() : List<VariableDeclarator> renamed to package parametersExposedToChild(child Node) : List<Parameter> in class com.github.javaparser.symbolsolver.core.resolution.Context;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/core/resolution/Context.java;115;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/core/resolution/Context.java;116
1;91ebf36c066190d49ef4ddb9b49d281f0763b417;98ea761ff04b0226ca0511aa5d735fdae829aa3a;20c326ea46667a89e7bb3b5c9c2e099dfaf289c4;c14272b09aa375dea9f41f45b29ea209ece267c7;Extract Method;Extract Method	private solveSuperClass() : ReferenceTypeImpl extracted from public getSuperClass() : ResolvedReferenceType in class com.github.javaparser.symbolsolver.javassistmodel.JavassistClassDeclaration;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javassistmodel/JavassistClassDeclaration.java;301;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javassistmodel/JavassistClassDeclaration.java;300
1;91ebf36c066190d49ef4ddb9b49d281f0763b417;98ea761ff04b0226ca0511aa5d735fdae829aa3a;20c326ea46667a89e7bb3b5c9c2e099dfaf289c4;c14272b09aa375dea9f41f45b29ea209ece267c7;Extract Method;Extract Method	private solveSuperClass() : ReferenceTypeImpl extracted from public getSuperClass() : ResolvedReferenceType in class com.github.javaparser.symbolsolver.javassistmodel.JavassistClassDeclaration;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javassistmodel/JavassistClassDeclaration.java;301;javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javassistmodel/JavassistClassDeclaration.java;300
1;841d8e51ad0654f3053ee3b16d2be63c447cfc4b;74048c4ba3a73428b87b7dc934dcda4944f41a71;69f7cb397b6d32cc3fb8c36e0a49f80b718710d3;b494dbd10ad5b607478d5b9d7e6ea842acb95139;Extract Superclass;Extract Superclass	com.github.javaparser.symbolsolver.resolution.naming.AbstractNameLogicTest from classes [com.github.javaparser.symbolsolver.resolution.naming.NameLogicTest];/dev/null;0;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/AbstractNameLogicTest.java;22
1;841d8e51ad0654f3053ee3b16d2be63c447cfc4b;74048c4ba3a73428b87b7dc934dcda4944f41a71;69f7cb397b6d32cc3fb8c36e0a49f80b718710d3;b494dbd10ad5b607478d5b9d7e6ea842acb95139;Extract Superclass;Extract Superclass	com.github.javaparser.symbolsolver.resolution.naming.AbstractNameLogicTest from classes [com.github.javaparser.symbolsolver.resolution.naming.NameLogicTest];/dev/null;0;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/AbstractNameLogicTest.java;25
1;841d8e51ad0654f3053ee3b16d2be63c447cfc4b;74048c4ba3a73428b87b7dc934dcda4944f41a71;69f7cb397b6d32cc3fb8c36e0a49f80b718710d3;b494dbd10ad5b607478d5b9d7e6ea842acb95139;Extract Superclass;Extract Superclass	com.github.javaparser.symbolsolver.resolution.naming.AbstractNameLogicTest from classes [com.github.javaparser.symbolsolver.resolution.naming.NameLogicTest];/dev/null;0;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/AbstractNameLogicTest.java;30
1;841d8e51ad0654f3053ee3b16d2be63c447cfc4b;74048c4ba3a73428b87b7dc934dcda4944f41a71;69f7cb397b6d32cc3fb8c36e0a49f80b718710d3;b494dbd10ad5b607478d5b9d7e6ea842acb95139;Extract Superclass;Extract Superclass	com.github.javaparser.symbolsolver.resolution.naming.AbstractNameLogicTest from classes [com.github.javaparser.symbolsolver.resolution.naming.NameLogicTest];javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/NameLogicTest.java;52;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/NameLogicTest.java;25
1;841d8e51ad0654f3053ee3b16d2be63c447cfc4b;74048c4ba3a73428b87b7dc934dcda4944f41a71;69f7cb397b6d32cc3fb8c36e0a49f80b718710d3;b494dbd10ad5b607478d5b9d7e6ea842acb95139;Extract Superclass;Extract Superclass	com.github.javaparser.symbolsolver.resolution.naming.AbstractNameLogicTest from classes [com.github.javaparser.symbolsolver.resolution.naming.NameLogicTest];javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/NameLogicTest.java;52;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/NameLogicTest.java;25
1;841d8e51ad0654f3053ee3b16d2be63c447cfc4b;74048c4ba3a73428b87b7dc934dcda4944f41a71;69f7cb397b6d32cc3fb8c36e0a49f80b718710d3;b494dbd10ad5b607478d5b9d7e6ea842acb95139;Pull Up Method;Pull Up Method	private getNameInCode(code String, name String, parseStart ParseStart) : Node from class com.github.javaparser.symbolsolver.resolution.naming.NameLogicTest to protected getNameInCode(code String, name String, parseStart ParseStart) : Node from class com.github.javaparser.symbolsolver.resolution.naming.AbstractNameLogicTest;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/NameLogicTest.java;52;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/resolution/naming/NameLogicTest.java;25
