merge_parent;merge_commit;parent1;parent2;merge_base;ref_type;ref_detail;old_path;old_start_line;new_path;new_start_line
2;f4682ce2558cdca60d12fbef39e9ca0370eba592;ae1ffc9b47480383c541c9434463e3468b1b7168;6dd24ff4c2b18160ee770b5baa08f4de7056eef1;0cc40391bc3ed026b1c436375c31a2614c883cdf;Rename Method;Rename Method	public methodToBeMatched() : String renamed to public methodA() : String in class org.junit.tests.running.classes.TestClassTest.MethodsAnnotated;src/test/java/org/junit/tests/running/classes/TestClassTest.java;111;src/test/java/org/junit/tests/running/classes/TestClassTest.java;116
2;f4682ce2558cdca60d12fbef39e9ca0370eba592;ae1ffc9b47480383c541c9434463e3468b1b7168;6dd24ff4c2b18160ee770b5baa08f4de7056eef1;0cc40391bc3ed026b1c436375c31a2614c883cdf;Rename Method;Rename Method	public methodToBeMatched() : String renamed to public methodA() : String in class org.junit.tests.running.classes.TestClassTest.MethodsAnnotated;src/test/java/org/junit/tests/running/classes/TestClassTest.java;111;src/test/java/org/junit/tests/running/classes/TestClassTest.java;116
2;f4682ce2558cdca60d12fbef39e9ca0370eba592;ae1ffc9b47480383c541c9434463e3468b1b7168;6dd24ff4c2b18160ee770b5baa08f4de7056eef1;0cc40391bc3ed026b1c436375c31a2614c883cdf;Rename Method;Rename Method	public methodOfWrongType() : int renamed to public methodC() : int in class org.junit.tests.running.classes.TestClassTest.MethodsAnnotated;src/test/java/org/junit/tests/running/classes/TestClassTest.java;111;src/test/java/org/junit/tests/running/classes/TestClassTest.java;116
2;f4682ce2558cdca60d12fbef39e9ca0370eba592;ae1ffc9b47480383c541c9434463e3468b1b7168;6dd24ff4c2b18160ee770b5baa08f4de7056eef1;0cc40391bc3ed026b1c436375c31a2614c883cdf;Rename Method;Rename Method	public methodOfWrongType() : int renamed to public methodC() : int in class org.junit.tests.running.classes.TestClassTest.MethodsAnnotated;src/test/java/org/junit/tests/running/classes/TestClassTest.java;111;src/test/java/org/junit/tests/running/classes/TestClassTest.java;116
1;93d773835c0c6f70bc89bbf5e4d273c289423a64;8d7f5cc1d267cbc77b20fa17324350b5859d701e;38d91308c302eb4f0b5ed24e064ee56395f9fc01;e012e06dc326394a3a834d974e9af3fea0e6df91;Extract And Move Method;Extract And Move Method	public runTheoryClass(testClass Class<?>) : Result extracted from public theoryMeansOnlyAssumeShouldFail() : void in class org.junit.tests.experimental.theories.AssumingInTheoriesTest & moved to class org.junit.tests.experimental.theories.TheoryTestUtils;src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java;19;src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java;17
1;93d773835c0c6f70bc89bbf5e4d273c289423a64;8d7f5cc1d267cbc77b20fa17324350b5859d701e;38d91308c302eb4f0b5ed24e064ee56395f9fc01;e012e06dc326394a3a834d974e9af3fea0e6df91;Extract And Move Method;Extract And Move Method	public runTheoryClass(testClass Class<?>) : Result extracted from public theoryMeansOnlyAssumeShouldFail() : void in class org.junit.tests.experimental.theories.AssumingInTheoriesTest & moved to class org.junit.tests.experimental.theories.TheoryTestUtils;src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java;19;src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java;17
2;93d773835c0c6f70bc89bbf5e4d273c289423a64;8d7f5cc1d267cbc77b20fa17324350b5859d701e;38d91308c302eb4f0b5ed24e064ee56395f9fc01;e012e06dc326394a3a834d974e9af3fea0e6df91;Extract And Move Method;Extract And Move Method	public runTheoryClass(testClass Class<?>) : Result extracted from public theoryMeansOnlyAssumeShouldFail() : void in class org.junit.tests.experimental.theories.AssumingInTheoriesTest & moved to class org.junit.tests.experimental.theories.TheoryTestUtils;src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java;19;src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java;17
2;93d773835c0c6f70bc89bbf5e4d273c289423a64;8d7f5cc1d267cbc77b20fa17324350b5859d701e;38d91308c302eb4f0b5ed24e064ee56395f9fc01;e012e06dc326394a3a834d974e9af3fea0e6df91;Extract And Move Method;Extract And Move Method	public runTheoryClass(testClass Class<?>) : Result extracted from public theoryMeansOnlyAssumeShouldFail() : void in class org.junit.tests.experimental.theories.AssumingInTheoriesTest & moved to class org.junit.tests.experimental.theories.TheoryTestUtils;src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java;19;src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java;17
1;bb13feee21bc4a77513d50d6855c4396db9f0609;872aba6255a0ddcc02bd88418ea8b6b2a70fdb54;94aa692b0489d1fabd31c779c1a700a3b0890a24;e8b91fa9f797dfe16aff66ed6ad5d6104e5133fe;Rename Method;Rename Method	public enclosedRunnerPlansEnclosedClasses() : void renamed to public enclosedRunnerPlansConcreteEnclosedClasses() : void in class org.junit.tests.running.classes.EnclosedTest;src/test/java/org/junit/tests/running/classes/EnclosedTest.java;13;src/test/java/org/junit/tests/running/classes/EnclosedTest.java;13
1;bb13feee21bc4a77513d50d6855c4396db9f0609;872aba6255a0ddcc02bd88418ea8b6b2a70fdb54;94aa692b0489d1fabd31c779c1a700a3b0890a24;e8b91fa9f797dfe16aff66ed6ad5d6104e5133fe;Rename Method;Rename Method	public enclosedRunnerPlansEnclosedClasses() : void renamed to public enclosedRunnerPlansConcreteEnclosedClasses() : void in class org.junit.tests.running.classes.EnclosedTest;src/test/java/org/junit/tests/running/classes/EnclosedTest.java;13;src/test/java/org/junit/tests/running/classes/EnclosedTest.java;13
